sep=,
"Case ID","Elapsed","Selenium Profile","Status","Type"
"C101081","","","","To Be Automated"
"C101099","91s","","Passed","To Be Automated"
"C101099","","","","To Be Automated"
"C101100","32s","","Passed","To Be Automated"
"C101100","","","","To Be Automated"
"C101101","96s","","Passed","To Be Automated"
"C101101","","","","To Be Automated"
"C101102","55s","","Passed","To Be Automated"
"C101102","","","","To Be Automated"
"C101120","11s","","Passed","To Be Automated"
"C101120","","","","To Be Automated"
"C101121","15s","","Passed","To Be Automated"
"C101121","","","","To Be Automated"
"C101122","9s","","Passed","To Be Automated"
"C101122","","","","To Be Automated"
"C101123","17s","","Passed","To Be Automated"
"C101123","","","","To Be Automated"
"C101124","971s","","Passed","To Be Automated"
"C101124","","","","To Be Automated"
"C101125","181s","","Passed","To Be Automated"
"C101125","","","","To Be Automated"
"C101126","33s","","Passed","To Be Automated"
"C101126","","","","To Be Automated"
"C101127","23s","","Passed","To Be Automated"
"C101127","","","","To Be Automated"
"C101128","573s","","Passed","To Be Automated"
"C101128","","","","To Be Automated"
"C101129","765s","","Passed","To Be Automated"
"C101129","","","","To Be Automated"
"C101130","502s","","Passed","To Be Automated"
"C101130","","","","To Be Automated"
"C101131","281s","","Passed","To Be Automated"
"C101131","","","","To Be Automated"
"C101132","201s","","Passed","To Be Automated"
"C101132","","","","To Be Automated"
"C322989","110s","","Passed","To Be Automated"
"C322989","","","","To Be Automated"
"C101112","172s","","Passed","To Be Automated"
"C101112","","","","To Be Automated"
"C101113","1228s","","Passed","To Be Automated"
"C101113","","","","To Be Automated"
"C101114","95s","","Passed","To Be Automated"
"C101114","","","","To Be Automated"
"C101115","274s","","Passed","To Be Automated"
"C101115","","","","To Be Automated"
"C101116","677s","","Passed","To Be Automated"
"C101116","","","","To Be Automated"
"C101117","326s","","Passed","To Be Automated"
"C101117","","","","To Be Automated"
"C101118","141s","","Passed","To Be Automated"
"C101118","","","","To Be Automated"
"C339030","135s","","Passed","To Be Automated"
"C339030","","","","To Be Automated"
"C339033","411s","","Passed","To Be Automated"
"C339033","","","","To Be Automated"
"C339044","57s","","Passed","To Be Automated"
"C339044","","","","To Be Automated"
"C339045","21s","","Passed","To Be Automated"
"C339045","","","","To Be Automated"
